Symbol,Leg Symbol,Product,Futures Root,Expire Date,Leg Ratio,Leg Side,Description,Complex,Tick Size,Contract Size,Test Symbol
0002n6,0002n5,ZVXT/N9,ZVXT,7/17/2019,1,B,ZVXT Monthly Jul 2019,FALSE,tas_penny,1000,TRUE
0002n6,0002i2,ZVXT/M9,ZVXT,6/19/2019,1,S,ZVXT Monthly Jun 2019,FALSE,tas_penny,1000,TRUE
0002nA,,ZVXT/K9:1:S - ZVXT/N9:1:B,ZVXT,5/22/2019,,,ZVXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
0002nA,0002n5,ZVXT/N9,ZVXT,7/17/2019,1,B,ZVXT Monthly Jul 2019,FALSE,tas_penny,1000,TRUE
0002nA,0002d7,ZVXT/K9,ZVXT,5/22/2019,1,S,ZVXT Monthly May 2019,FALSE,tas_penny,1000,TRUE
0002oD,,VX/K9:1:S - VX/M9:2:B,VX,5/22/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002oD,0002fg,VX/M9,VX,6/19/2019,2,B,VX Monthly Jun 2019,FALSE,nickel,1000,FALSE
0002oD,0002aV,VX/K9,VX,5/22/2019,1,S,VX Monthly May 2019,FALSE,nickel,1000,FALSE
0002qH,,VX/K9:1:S - VX/Q9:1:B,VX,5/22/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002qH,0002qF,VX/Q9,VX,8/21/2019,1,B,VX Monthly Aug 2019,FALSE,nickel,1000,FALSE
0002qH,0002aV,VX/K9,VX,5/22/2019,1,S,VX Monthly May 2019,FALSE,nickel,1000,FALSE
0002qI,,VX/M9:1:S - VX/Q9:1:B,VX,6/19/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002qI,0002qF,VX/Q9,VX,8/21/2019,1,B,VX Monthly Aug 2019,FALSE,nickel,1000,FALSE
0002qI,0002fg,VX/M9,VX,6/19/2019,1,S,VX Monthly Jun 2019,FALSE,nickel,1000,FALSE
0002qM,,VX/N9:1:S - VX/Q9:1:B,VX,7/17/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002qM,0002qF,VX/Q9,VX,8/21/2019,1,B,VX Monthly Aug 2019,FALSE,nickel,1000,FALSE
0002qM,0002V7,VX/N9,VX,7/17/2019,1,S,VX Monthly Jul 2019,FALSE,nickel,1000,FALSE
0002qW,,VXT/N9:1:S - VXT/Q9:1:B,VXT,7/17/2019,,,VXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002qW,0002qT,VXT/Q9,VXT,8/21/2019,1,B,VXT Monthly Aug 2019,FALSE,tas_penny,1000,FALSE
0002qW,0002VL,VXT/N9,VXT,7/17/2019,1,S,VXT Monthly Jul 2019,FALSE,tas_penny,1000,FALSE
0002qe,,VXT/M9:1:S - VXT/Q9:1:B,VXT,6/19/2019,,,VXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002qe,0002qT,VXT/Q9,VXT,8/21/2019,1,B,VXT Monthly Aug 2019,FALSE,tas_penny,1000,FALSE
0002qe,0002fu,VXT/M9,VXT,6/19/2019,1,S,VXT Monthly Jun 2019,FALSE,tas_penny,1000,FALSE
0002qg,,VXT/K9:1:S - VXT/Q9:1:B,VXT,5/22/2019,,,VXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002qg,0002qT,VXT/Q9,VXT,8/21/2019,1,B,VXT Monthly Aug 2019,FALSE,tas_penny,1000,FALSE
0002qg,0002aj,VXT/K9,VXT,5/22/2019,1,S,VXT Monthly May 2019,FALSE,tas_penny,1000,FALSE
