Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.,,,
Date,Close,,
4/11/2016,110,,
4/12/2016,111.52,,
4/13/2016,112.68,,
4/14/2016,112.58,,
4/15/2016,112.18,,
4/18/2016,112.5,,
4/19/2016,113.49,,
4/20/2016,113.62,,
4/21/2016,112.27,,
4/22/2016,112.02,,
4/25/2016,111.82,,
4/26/2016,111.98,,
4/27/2016,112.04,,
4/28/2016,110.7,,
4/29/2016,110.54,,
5/2/2016,111,,
5/3/2016,109.75,,
5/4/2016,109.05,,
5/5/2016,108.48,,
5/6/2016,108.98,,
5/9/2016,108.82,,
5/10/2016,110.02,,
5/11/2016,108.87,,
5/12/2016,109.01,,
5/13/2016,108.72,,
5/16/2016,109.6,,
5/17/2016,108.19,,
5/18/2016,107.75,,
5/19/2016,107.29,,
5/20/2016,108.15,,
5/23/2016,108.13,,
5/24/2016,109.88,,
5/25/2016,110.89,,
5/26/2016,111.42,,
5/27/2016,112.03,,
5/31/2016,111.79,,
6/1/2016,112.03,,
6/2/2016,112.1,,
6/3/2016,112.37,,
6/6/2016,113.08,,
6/7/2016,114,,
6/8/2016,114.71,,
6/9/2016,114.41,,
6/10/2016,113.27,,
6/13/2016,112.68,,
6/14/2016,112.65,,
6/15/2016,112.44,,
6/16/2016,112.91,,
6/17/2016,113,,
6/20/2016,113.68,,
6/21/2016,114.41,,
6/22/2016,114.08,,
6/23/2016,115.72,,
6/24/2016,111.19,,
6/27/2016,109.2,,
6/28/2016,111.56,,
6/29/2016,113.97,,
6/30/2016,115.49,,
7/1/2016,115.86,,
7/5/2016,114.92,,
7/6/2016,115.61,,
7/7/2016,115.41,,
7/8/2016,117.02,,
7/11/2016,117.65,,
7/12/2016,118.63,,
7/13/2016,118.84,,
7/14/2016,119.72,,
7/15/2016,119.34,,
7/18/2016,119.37,,
7/19/2016,118.99,,
7/20/2016,119.51,,
7/21/2016,118.8,,
7/22/2016,119.79,,
7/25/2016,119.58,,
7/26/2016,119.85,,
7/27/2016,119.7,,
7/28/2016,119.77,,
7/29/2016,119.86,,
8/1/2016,119.67,,
8/2/2016,118.8,,
8/3/2016,119.2,,
8/4/2016,119.64,,
8/5/2016,119.46,,
