"Cboe Volatility Index (VX) Futures, Includes TAS",,,,,,
VX+VXT17/J9 - 2019-04-24,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change_1,Column7
VA/M0 - 2020-06-19,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VA/M0 - 2020-06-19,CONTRACT PRICES (US$),17.675,930.4191,0.200,0.200,
VA/M0 - 2020-06-19,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VA/M0 - 2020-06-19,CONTRACT VOLUME,0,0,0,0,0
VA/Z0 - 2020-12-18,CONTRACT PRICES (US$),Open,High,Low,Close,
VA/Z0 - 2020-12-18,CONTRACT PRICES (US$),0.00,b18.25,18.75a,0.00,
VA/Z0 - 2020-12-18,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VA/Z0 - 2020-12-18,CONTRACT PRICES (US$),18.50,940.5225,0.175,0.175,
VA/Z0 - 2020-12-18,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VA/Z0 - 2020-12-18,CONTRACT VOLUME,0,0,0,0,0
VA/Z1 - 2021-12-17,CONTRACT PRICES (US$),Open,High,Low,Close,
VA/Z1 - 2021-12-17,CONTRACT PRICES (US$),0.00,b19.30,20.00a,0.00,
VA/Z1 - 2021-12-17,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VA/Z1 - 2021-12-17,CONTRACT PRICES (US$),19.70,844.526,0.125,0.125,
VA/Z1 - 2021-12-17,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VA/Z1 - 2021-12-17,CONTRACT VOLUME,0,0,0,0,0
"Cboe High Yield Corporate Bond Index (IBHY) Futures, Includes TAS",,,,,,
IBHY/K9 - 2019-05-01,CONTRACT PRICES (US$),Open,High,Low,Close,
IBHY/K9 - 2019-05-01,CONTRACT PRICES (US$),132.03,b132.09,131.95a,131.98,
IBHY/K9 - 2019-05-01,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
IBHY/K9 - 2019-05-01,CONTRACT PRICES (US$),131.935,N/A,-0.215,-0.215,
IBHY/K9 - 2019-05-01,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
IBHY/K9 - 2019-05-01,CONTRACT VOLUME,88,0,0,184,184
IBHY/M9 - 2019-06-03,CONTRACT PRICES (US$),Open,High,Low,Close,
IBHY/M9 - 2019-06-03,CONTRACT PRICES (US$),0.00,b132.61,132.49a,0.00,
IBHY/M9 - 2019-06-03,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
